"14.153751	-0.001552"
"14.153629	-0.000822"
"14.153506	0.000003"
"14.153384	-0.000084"
"14.153262	-0.000834"
"14.153139	-0.001323"
"14.153017	-0.001806"
"14.152895	-0.002689"
"14.152772	-0.003763"
"14.152650	-0.004882"
"14.152528	-0.005425"
"14.152406	-0.004540"
"14.152283	-0.002876"
"14.152161	-0.001942"
"14.152039	-0.002049"
"14.151916	-0.002509"
"14.151794	-0.002861"
"14.151672	-0.003005"
"14.151549	-0.003125"
"14.151427	-0.003497"
"14.151305	-0.003883"
"14.151182	-0.003624"
"14.151060	-0.002515"
"14.150938	-0.001051"
"14.150816	0.000166"
"14.150693	0.000768"
"14.150571	0.000619"
"14.150449	0.000077"
"14.150326	-0.000126"
"14.150204	0.000326"
"14.150082	0.000908"
"14.149959	0.000853"
"14.149837	0.000111"
"14.149715	-0.000513"
"14.149593	-0.000871"
"14.149470	-0.001936"
"14.149348	-0.003629"
"14.149226	-0.004535"
"14.149103	-0.004744"
"14.148981	-0.005696"
"14.148859	-0.007115"
"14.148736	-0.007744"
"14.148614	-0.007695"
"14.148492	-0.007355"
"14.148369	-0.006585"
"14.148247	-0.006025"
"14.148125	-0.005905"
"14.148003	-0.005239"
"14.147880	-0.004309"
"14.147758	-0.004403"
"14.147636	-0.004559"
"14.147513	-0.003086"
"14.147391	-0.000981"
"14.147269	0.000375"
"14.147146	0.001508"
"14.147024	0.002018"
"14.146902	0.000550"
"14.146779	-0.001648"
"14.146657	-0.002272"
"14.146535	-0.001763"
"14.146413	-0.001628"
"14.146290	-0.002042"
"14.146168	-0.002708"
"14.146046	-0.003170"
"14.145923	-0.003075"
"14.145801	-0.003467"
"14.145679	-0.004747"
"14.145556	-0.004882"
"14.145434	-0.003132"
"14.145312	-0.001537"
"14.145189	-0.000671"
"14.145067	0.000614"
"14.144945	0.001843"
"14.144823	0.001645"
"14.144700	0.000069"
"14.144578	-0.001809"
"14.144456	-0.002704"
"14.144333	-0.002227"
"14.144211	-0.001556"
"14.144089	-0.001779"
"14.143966	-0.002711"
"14.143844	-0.003909"
"14.143722	-0.004833"
"14.143600	-0.005059"
"14.143477	-0.004973"
"14.143355	-0.004651"
"14.143233	-0.003751"
"14.143110	-0.003098"
"14.142988	-0.002883"
"14.142866	-0.001649"
"14.142743	0.000066"
"14.142621	0.000182"
"14.142499	-0.000416"
"14.142376	-0.000047"
"14.142254	0.000130"
"14.142132	-0.000698"
"14.142010	-0.001267"
"14.141887	-0.001451"
"14.141765	-0.002172"
"14.141643	-0.003310"
"14.141520	-0.004327"
"14.141398	-0.004775"
"14.141276	-0.004478"
"14.141153	-0.004435"
"14.141031	-0.005079"
"14.140909	-0.005205"
"14.140786	-0.004838"
"14.140664	-0.005448"
"14.140542	-0.006292"
"14.140420	-0.005497"
"14.140297	-0.003721"
"14.140175	-0.002608"
"14.140053	-0.001922"
"14.139930	-0.001026"
"14.139808	-0.000318"
"14.139686	-0.000015"
"14.139563	-0.000083"
"14.139441	-0.001292"
"14.139319	-0.003779"
"14.139197	-0.005478"
"14.139074	-0.004754"
"14.138952	-0.003068"
"14.138830	-0.002150"
"14.138707	-0.001259"
"14.138585	0.000014"
"14.138463	0.000052"
"14.138340	-0.001411"
"14.138218	-0.002286"
"14.138096	-0.001591"
"14.137973	-0.000684"
"14.137851	-0.000929"
"14.137729	-0.001764"
"14.137607	-0.001500"
"14.137484	-0.000108"
"14.137362	0.000341"
"14.137240	-0.000781"
"14.137117	-0.001869"
"14.136995	-0.002380"
"14.136873	-0.003070"
"14.136750	-0.003753"
"14.136628	-0.004063"
"14.136506	-0.004269"
"14.136383	-0.004075"
"14.136261	-0.003278"
"14.136139	-0.002782"
"14.136017	-0.002982"
"14.135894	-0.003109"
"14.135772	-0.002746"
"14.135650	-0.002597"
"14.135527	-0.003576"
"14.135405	-0.005254"
"14.135283	-0.005963"
"14.135160	-0.005242"
"14.135038	-0.003990"
"14.134916	-0.002482"
"14.134793	-0.001352"
"14.134671	-0.002115"
"14.134549	-0.003882"
"14.134427	-0.004148"
"14.134304	-0.003251"
"14.134182	-0.003084"
"14.134060	-0.003525"
"14.133937	-0.003706"
"14.133815	-0.003654"
"14.133693	-0.003863"
"14.133570	-0.004853"
"14.133448	-0.006241"
"14.133326	-0.006903"
"14.133204	-0.006659"
"14.133081	-0.005651"
"14.132959	-0.003855"
"14.132837	-0.002686"
"14.132714	-0.003261"
"14.132592	-0.004225"
"14.132470	-0.004782"
"14.132347	-0.005465"
"14.132225	-0.005503"
"14.132103	-0.004564"
"14.131980	-0.003889"
"14.131858	-0.003208"
"14.131736	-0.001907"
"14.131614	-0.001184"
"14.131491	-0.001114"
"14.131369	-0.000732"
"14.131247	-0.000944"
"14.131124	-0.002029"
"14.131002	-0.002537"
"14.130880	-0.002817"
"14.130757	-0.003942"
"14.130635	-0.005065"
"14.130513	-0.005606"
"14.130390	-0.005923"
"14.130268	-0.005571"
"14.130146	-0.004286"
