"14.162551	0.000529"
"14.162429	0.001003"
"14.162306	0.000162"
"14.162184	-0.001501"
"14.162062	-0.002599"
"14.161939	-0.002437"
"14.161817	-0.001289"
"14.161695	-0.000204"
"14.161572	-0.000116"
"14.161450	-0.000430"
"14.161328	-0.000352"
"14.161205	-0.000474"
"14.161083	-0.000730"
"14.160961	-0.000084"
"14.160839	0.000680"
"14.160716	0.000217"
"14.160594	-0.000826"
"14.160472	-0.001814"
"14.160349	-0.003266"
"14.160227	-0.004772"
"14.160105	-0.005156"
"14.159982	-0.004318"
"14.159860	-0.003228"
"14.159738	-0.002885"
"14.159616	-0.003317"
"14.159493	-0.003875"
"14.159371	-0.004534"
"14.159249	-0.005291"
"14.159126	-0.005512"
"14.159004	-0.005396"
"14.158882	-0.005631"
"14.158759	-0.005619"
"14.158637	-0.004656"
"14.158515	-0.003137"
"14.158392	-0.001740"
"14.158270	-0.001358"
"14.158148	-0.002374"
"14.158026	-0.003407"
"14.157903	-0.003184"
"14.157781	-0.002248"
"14.157659	-0.001583"
"14.157536	-0.001825"
"14.157414	-0.003126"
"14.157292	-0.004535"
"14.157169	-0.005048"
"14.157047	-0.004531"
"14.156925	-0.003193"
"14.156802	-0.002001"
"14.156680	-0.001981"
"14.156558	-0.002296"
"14.156436	-0.002024"
"14.156313	-0.002079"
"14.156191	-0.002748"
"14.156069	-0.002977"
"14.155946	-0.002576"
"14.155824	-0.001979"
"14.155702	-0.001607"
"14.155579	-0.002051"
"14.155457	-0.002812"
"14.155335	-0.002780"
"14.155212	-0.002405"
"14.155090	-0.002616"
"14.154968	-0.003104"
"14.154846	-0.003372"
"14.154723	-0.003395"
"14.154601	-0.003155"
"14.154479	-0.002489"
"14.154356	-0.001142"
"14.154234	0.000214"
"14.154112	0.000163"
"14.153989	-0.001001"
"14.153867	-0.001811"
"14.153745	-0.002293"
"14.153623	-0.002839"
"14.153500	-0.003162"
"14.153378	-0.003694"
"14.153256	-0.004469"
"14.153133	-0.004493"
"14.153011	-0.004148"
"14.152889	-0.004257"
"14.152766	-0.004023"
"14.152644	-0.003303"
"14.152522	-0.003087"
"14.152399	-0.002896"
"14.152277	-0.001784"
"14.152155	-0.000525"
"14.152033	-0.000407"
"14.151910	-0.001333"
"14.151788	-0.001866"
"14.151666	-0.001506"
"14.151543	-0.001866"
"14.151421	-0.003115"
"14.151299	-0.002692"
"14.151176	-0.000334"
"14.151054	0.001200"
"14.150932	0.001229"
"14.150809	0.001164"
"14.150687	0.001311"
"14.150565	0.000959"
"14.150443	-0.000781"
"14.150320	-0.003633"
"14.150198	-0.005352"
"14.150076	-0.005084"
"14.149953	-0.004480"
"14.149831	-0.003865"
"14.149709	-0.002837"
"14.149586	-0.002864"
"14.149464	-0.004178"
"14.149342	-0.004703"
"14.149220	-0.003900"
"14.149097	-0.002784"
"14.148975	-0.002046"
"14.148853	-0.002482"
"14.148730	-0.003601"
"14.148608	-0.003282"
"14.148486	-0.001673"
"14.148363	-0.001189"
"14.148241	-0.002094"
"14.148119	-0.002637"
"14.147996	-0.002490"
"14.147874	-0.002794"
"14.147752	-0.003617"
"14.147630	-0.003416"
"14.147507	-0.001882"
"14.147385	-0.001126"
"14.147263	-0.001879"
"14.147140	-0.002074"
"14.147018	-0.000955"
"14.146896	0.000085"
"14.146773	0.000784"
"14.146651	0.001670"
"14.146529	0.002423"
"14.146406	0.002759"
"14.146284	0.002235"
"14.146162	0.000159"
"14.146040	-0.002146"
"14.145917	-0.002769"
"14.145795	-0.002849"
"14.145673	-0.004030"
"14.145550	-0.004824"
"14.145428	-0.003963"
"14.145306	-0.003424"
"14.145183	-0.004807"
"14.145061	-0.006625"
"14.144939	-0.006879"
"14.144816	-0.005344"
"14.144694	-0.003097"
"14.144572	-0.001275"
"14.144450	-0.000013"
"14.144327	0.001138"
"14.144205	0.001832"
"14.144083	0.001503"
"14.143960	0.000628"
"14.143838	-0.000243"
"14.143716	-0.001240"
"14.143593	-0.002376"
"14.143471	-0.003513"
"14.143349	-0.004297"
"14.143227	-0.003848"
"14.143104	-0.002588"
"14.142982	-0.002587"
"14.142860	-0.003924"
"14.142737	-0.004407"
"14.142615	-0.003752"
"14.142493	-0.003487"
"14.142370	-0.003809"
"14.142248	-0.004109"
"14.142126	-0.004232"
"14.142003	-0.003805"
"14.141881	-0.002844"
"14.141759	-0.002364"
"14.141637	-0.002777"
"14.141514	-0.003514"
"14.141392	-0.004388"
"14.141270	-0.005378"
"14.141147	-0.005697"
"14.141025	-0.004900"
"14.140903	-0.004317"
"14.140780	-0.005431"
"14.140658	-0.007170"
"14.140536	-0.007430"
"14.140413	-0.006829"
"14.140291	-0.007331"
"14.140169	-0.008249"
"14.140047	-0.007497"
"14.139924	-0.005015"
"14.139802	-0.002264"
"14.139680	-0.000607"
"14.139557	-0.000900"
"14.139435	-0.002511"
"14.139313	-0.003624"
"14.139190	-0.003526"
"14.139068	-0.002991"
"14.138946	-0.002787"
"14.138824	-0.003261"
"14.138701	-0.004093"
"14.138579	-0.004222"
"14.138457	-0.003578"
"14.138334	-0.003531"
"14.138212	-0.004331"
"14.138090	-0.004710"
