"14.148551	0.000440"
"14.148429	0.001504"
"14.148306	0.000935"
"14.148184	0.000045"
"14.148062	-0.000737"
"14.147939	-0.001282"
"14.147817	-0.001005"
"14.147695	-0.000487"
"14.147572	-0.000390"
"14.147450	-0.000207"
"14.147328	0.000350"
"14.147206	0.000965"
"14.147083	0.001500"
"14.146961	0.001821"
"14.146839	0.001266"
"14.146716	-0.000684"
"14.146594	-0.002875"
"14.146472	-0.003616"
"14.146349	-0.003506"
"14.146227	-0.003564"
"14.146105	-0.002690"
"14.145983	-0.000798"
"14.145860	0.000399"
"14.145738	0.000905"
"14.145616	0.001179"
"14.145493	0.000458"
"14.145371	-0.000393"
"14.145249	-0.000370"
"14.145126	-0.000695"
"14.145004	-0.000768"
"14.144882	0.001167"
"14.144759	0.002944"
"14.144637	0.001996"
"14.144515	-0.000385"
"14.144393	-0.002472"
"14.144270	-0.003392"
"14.144148	-0.002616"
"14.144026	-0.001748"
"14.143903	-0.001675"
"14.143781	-0.000455"
"14.143659	0.001776"
"14.143536	0.002511"
"14.143414	0.001737"
"14.143292	0.000713"
"14.143169	-0.000031"
"14.143047	0.000290"
"14.142925	0.000866"
"14.142803	0.000089"
"14.142680	-0.000635"
"14.142558	-0.000053"
"14.142436	0.000140"
"14.142313	-0.000083"
"14.142191	0.000926"
"14.142069	0.002217"
"14.141946	0.002458"
"14.141824	0.002197"
"14.141702	0.001536"
"14.141580	0.000597"
"14.141457	0.000636"
"14.141335	0.001668"
"14.141213	0.002307"
"14.141090	0.002143"
"14.140968	0.001756"
"14.140846	0.001489"
"14.140723	0.000949"
"14.140601	-0.000076"
"14.140479	-0.000583"
"14.140356	0.000022"
"14.140234	0.000797"
"14.140112	0.001727"
"14.139990	0.003515"
"14.139867	0.004741"
"14.139745	0.004368"
"14.139623	0.003920"
"14.139500	0.003714"
"14.139378	0.002378"
"14.139256	0.000810"
"14.139133	0.000466"
"14.139011	0.000154"
"14.138889	-0.001111"
"14.138766	-0.002126"
"14.138644	-0.002283"
"14.138522	-0.002379"
"14.138400	-0.002793"
"14.138277	-0.003187"
"14.138155	-0.002905"
"14.138033	-0.001573"
"14.137910	-0.000248"
"14.137788	-0.000084"
"14.137666	-0.000133"
"14.137543	0.000569"
"14.137421	0.000906"
"14.137299	0.000115"
"14.137176	-0.000938"
"14.137054	-0.001914"
"14.136932	-0.002525"
"14.136810	-0.001631"
"14.136687	0.000371"
"14.136565	0.001582"
"14.136443	0.001457"
"14.136320	0.000498"
"14.136198	-0.000556"
"14.136076	-0.000510"
"14.135953	0.000225"
"14.135831	0.000005"
"14.135709	-0.000572"
"14.135587	-0.000380"
"14.135464	-0.000151"
"14.135342	0.000344"
"14.135220	0.001493"
"14.135097	0.001196"
"14.134975	-0.000756"
"14.134853	-0.001676"
"14.134730	-0.001796"
"14.134608	-0.002748"
"14.134486	-0.003284"
"14.134363	-0.002884"
"14.134241	-0.002638"
"14.134119	-0.001767"
"14.133997	-0.000252"
"14.133874	-0.000067"
"14.133752	-0.000579"
"14.133630	0.000115"
"14.133507	0.001149"
"14.133385	0.001391"
"14.133263	0.001343"
"14.133140	0.001250"
"14.133018	0.001212"
"14.132896	0.001073"
"14.132773	-0.000045"
"14.132651	-0.001610"
"14.132529	-0.001897"
"14.132407	-0.000769"
"14.132284	0.000910"
"14.132162	0.002365"
"14.132040	0.002963"
"14.131917	0.003368"
"14.131795	0.004104"
"14.131673	0.003532"
"14.131550	0.001617"
"14.131428	0.001134"
"14.131306	0.002066"
"14.131183	0.001839"
"14.131061	0.000668"
"14.130939	0.000164"
"14.130817	0.000293"
"14.130694	0.000795"
"14.130572	0.001368"
"14.130450	0.001135"
"14.130327	0.000671"
"14.130205	0.001030"
"14.130083	0.001395"
"14.129960	0.001261"
"14.129838	0.001554"
"14.129716	0.002024"
"14.129594	0.001797"
"14.129471	0.001537"
"14.129349	0.001559"
"14.129227	0.000755"
"14.129104	-0.000529"
"14.128982	-0.000610"
"14.128860	0.000094"
"14.128737	-0.000376"
"14.128615	-0.002031"
"14.128493	-0.003167"
"14.128370	-0.003047"
"14.128248	-0.002217"
"14.128126	-0.001388"
"14.128004	-0.001091"
"14.127881	-0.001177"
"14.127759	-0.000612"
"14.127637	0.001147"
"14.127514	0.002919"
"14.127392	0.002827"
"14.127270	0.000756"
"14.127147	-0.000939"
"14.127025	-0.000522"
"14.126903	0.000523"
"14.126780	0.000260"
"14.126658	-0.000633"
"14.126536	-0.001171"
"14.126414	-0.001752"
"14.126291	-0.001948"
"14.126169	-0.001058"
"14.126047	-0.000291"
"14.125924	-0.000512"
"14.125802	-0.000668"
"14.125680	-0.000530"
"14.125557	-0.000816"
"14.125435	-0.001171"
"14.125313	-0.001416"
"14.125191	-0.001796"
"14.125068	-0.001156"
"14.124946	0.001194"
"14.124824	0.003550"
"14.124701	0.004683"
"14.124579	0.004821"
"14.124457	0.003708"
"14.124334	0.001804"
"14.124212	0.000658"
"14.124090	0.000137"
"14.123967	-0.000614"
"14.123845	-0.000586"
"14.123723	0.000587"
"14.123601	0.001221"
"14.123478	0.000715"
"14.123356	0.000106"
"14.123234	-0.000227"
"14.123111	-0.000333"
"14.122989	-0.000033"
"14.122867	0.000248"
"14.122744	-0.000135"
"14.122622	-0.001119"
"14.122500	-0.002118"
"14.122377	-0.002476"
"14.122255	-0.001839"
"14.122133	-0.000260"
"14.122011	0.001635"
"14.121888	0.002595"
"14.121766	0.002330"
"14.121644	0.002346"
"14.121521	0.003160"
"14.121399	0.003451"
"14.121277	0.003117"
"14.121154	0.002956"
"14.121032	0.002389"
"14.120910	0.001233"
"14.120787	0.000245"
"14.120665	-0.000867"
"14.120543	-0.001833"
"14.120421	-0.001627"
"14.120298	-0.001677"
"14.120176	-0.003146"
"14.120054	-0.003589"
"14.119931	-0.002340"
"14.119809	-0.001975"
"14.119687	-0.001981"
"14.119564	-0.000476"
"14.119442	0.000536"
"14.119320	-0.000355"
"14.119198	-0.000712"
"14.119075	0.000354"
"14.118953	0.001092"
"14.118831	0.001011"
"14.118708	0.000434"
"14.118586	-0.000794"
"14.118464	-0.001991"
"14.118341	-0.002111"
"14.118219	-0.001092"
"14.118097	0.000303"
"14.117974	0.000789"
"14.117852	-0.000065"
"14.117730	-0.000841"
"14.117608	-0.000716"
"14.117485	-0.000788"
"14.117363	-0.001315"
"14.117241	-0.000882"
"14.117118	0.000649"
"14.116996	0.001484"
"14.116874	0.000580"
"14.116751	-0.001041"
"14.116629	-0.001793"
"14.116507	-0.001353"
"14.116384	-0.000473"
"14.116262	0.000236"
"14.116140	0.000371"
"14.116018	-0.000200"
"14.115895	-0.000815"
"14.115773	-0.000862"
"14.115651	-0.000758"
"14.115528	-0.000895"
"14.115406	-0.001032"
"14.115284	-0.001086"
"14.115161	-0.000974"
"14.115039	-0.000473"
"14.114917	-0.000107"
"14.114794	-0.000536"
"14.114672	-0.001195"
"14.114550	-0.001230"
"14.114428	-0.000702"
"14.114305	0.000081"
"14.114183	0.000974"
"14.114061	0.001748"
"14.113938	0.002339"
"14.113816	0.002572"
"14.113694	0.001904"
"14.113571	0.000342"
"14.113449	-0.001118"
"14.113327	-0.001448"
"14.113205	-0.000642"
"14.113082	0.000182"
"14.112960	0.000036"
"14.112838	-0.000496"
"14.112715	-0.000411"
"14.112593	-0.000197"
"14.112471	-0.000593"
"14.112348	-0.001183"
"14.112226	-0.001597"
"14.112104	-0.001559"
"14.111981	-0.000250"
"14.111859	0.001956"
"14.111737	0.003224"
"14.111615	0.003054"
"14.111492	0.002477"
"14.111370	0.001879"
"14.111248	0.001318"
"14.111125	0.001034"
"14.111003	0.000571"
"14.110881	-0.000157"
"14.110758	0.000046"
"14.110636	0.001332"
"14.110514	0.002265"
"14.110391	0.002450"
"14.110269	0.002474"
"14.110147	0.002065"
"14.110025	0.001133"
"14.109902	0.000514"
"14.109780	0.000102"
"14.109658	-0.000590"
"14.109535	-0.000511"
"14.109413	0.000890"
"14.109291	0.001833"
"14.109168	0.001364"
"14.109046	0.000876"
"14.108924	0.001297"
"14.108802	0.001841"
"14.108679	0.001476"
"14.108557	-0.000174"
"14.108435	-0.002167"
"14.108312	-0.002920"
"14.108190	-0.002580"
"14.108068	-0.002552"
"14.107945	-0.002835"
"14.107823	-0.002670"
"14.107701	-0.002206"
"14.107578	-0.001645"
"14.107456	-0.000856"
"14.107334	0.000118"
"14.107212	0.000917"
"14.107089	0.000511"
"14.106967	-0.001543"
"14.106845	-0.003397"
"14.106722	-0.003688"
"14.106600	-0.003728"
"14.106478	-0.004075"
"14.106355	-0.003485"
"14.106233	-0.002325"
"14.106111	-0.001931"
"14.105988	-0.002143"
"14.105866	-0.002586"
"14.105744	-0.002969"
"14.105622	-0.002156"
"14.105499	-0.000296"
"14.105377	0.000921"
"14.105255	0.001265"
"14.105132	0.001515"
"14.105010	0.001473"
"14.104888	0.001296"
"14.104765	0.001737"
"14.104643	0.001958"
"14.104521	0.000488"
"14.104398	-0.001868"
"14.104276	-0.002973"
"14.104154	-0.002643"
"14.104032	-0.002391"
"14.103909	-0.002421"
"14.103787	-0.001959"
"14.103665	-0.001547"
"14.103542	-0.001850"
"14.103420	-0.002036"
"14.103298	-0.001575"
