"14.123041	-0.004618"
"14.122919	-0.005997"
"14.122797	-0.007870"
"14.122674	-0.007924"
"14.122552	-0.006084"
"14.122430	-0.004242"
"14.122308	-0.002743"
"14.122185	-0.001244"
"14.122063	0.001278"
"14.121941	0.001984"
"14.121818	0.001714"
"14.121696	0.001446"
"14.121574	0.001065"
"14.121451	0.000684"
"14.121329	0.000300"
"14.121207	-0.000081"
"14.121084	-0.000462"
"14.120962	-0.000844"
"14.120840	0.000089"
"14.120718	0.001025"
"14.120595	0.001960"
"14.120473	0.002895"
"14.120351	0.002464"
"14.120228	0.002036"
"14.120106	0.001607"
"14.119984	0.001179"
"14.119861	0.000740"
"14.119739	0.000305"
"14.119617	-0.000131"
"14.119494	-0.000567"
"14.119372	-0.001763"
"14.119250	-0.002956"
"14.119128	-0.004149"
"14.119005	-0.005343"
"14.118883	-0.004322"
"14.118761	-0.003299"
"14.118638	-0.002276"
"14.118516	-0.001253"
"14.118394	-0.002317"
"14.118271	-0.003377"
"14.118149	-0.002620"
"14.118027	-0.001862"
"14.117904	-0.002283"
"14.117782	-0.002703"
"14.117660	-0.003122"
"14.117538	-0.003541"
"14.117415	-0.003091"
"14.117293	-0.002639"
"14.117171	-0.002186"
"14.117048	-0.001734"
"14.116926	-0.001805"
"14.116804	-0.001874"
"14.116681	-0.001942"
"14.116559	-0.002011"
"14.116437	-0.002082"
"14.116315	-0.002151"
"14.116192	-0.002220"
"14.116070	-0.002288"
"14.115948	-0.003145"
"14.115825	-0.004000"
"14.115703	-0.004855"
"14.115581	-0.005710"
"14.115458	-0.005923"
"14.115336	-0.006134"
"14.115214	-0.004526"
"14.115091	-0.002918"
"14.114969	-0.002847"
"14.114847	-0.002774"
"14.114725	-0.002700"
"14.114602	-0.002627"
"14.114480	-0.002442"
"14.114358	-0.002255"
"14.114235	-0.002068"
"14.114113	-0.001881"
"14.113991	-0.001197"
"14.113868	-0.000512"
"14.113746	0.000172"
"14.113624	0.000857"
"14.113501	0.000291"
"14.113379	-0.000275"
"14.113257	-0.000841"
"14.113135	-0.001407"
"14.113012	-0.002059"
"14.112890	-0.002710"
"14.112768	-0.001542"
"14.112645	-0.000375"
"14.112523	0.000527"
"14.112401	0.001430"
"14.112278	0.002332"
"14.112156	0.003234"
"14.112034	0.002218"
"14.111912	0.001202"
"14.111789	0.000186"
"14.111667	-0.000830"
"14.111545	-0.000974"
"14.111422	-0.001118"
"14.111300	-0.001263"
"14.111178	-0.001407"
"14.111055	-0.002887"
"14.110933	-0.004367"
"14.110811	-0.004029"
"14.110688	-0.003690"
"14.110566	-0.003920"
"14.110444	-0.004149"
"14.110322	-0.004379"
"14.110199	-0.004609"
"14.110077	-0.004370"
"14.109955	-0.004128"
"14.109832	-0.003887"
"14.109710	-0.003645"
"14.109588	-0.002383"
"14.109465	-0.001118"
"14.109343	-0.001673"
"14.109221	-0.002227"
"14.109098	-0.002565"
"14.108976	-0.002902"
"14.108854	-0.003238"
"14.108732	-0.003574"
"14.108609	-0.003572"
"14.108487	-0.003567"
"14.108365	-0.003562"
"14.108242	-0.003557"
"14.108120	-0.003233"
"14.107998	-0.002906"
"14.107875	-0.002582"
"14.107753	-0.002255"
"14.107631	-0.003408"
"14.107508	-0.004559"
"14.107386	-0.003894"
"14.107264	-0.003226"
"14.107142	-0.003337"
"14.107019	-0.003446"
"14.106897	-0.003557"
"14.106775	-0.003666"
"14.106652	-0.003664"
"14.106530	-0.003659"
"14.106408	-0.003657"
"14.106285	-0.003652"
"14.106163	-0.003117"
"14.106041	-0.002582"
"14.105919	-0.002047"
"14.105796	-0.001509"
"14.105674	-0.002035"
"14.105552	-0.002561"
"14.105429	-0.003086"
"14.105307	-0.003610"
"14.105185	-0.003510"
"14.105062	-0.003411"
"14.104940	-0.003311"
"14.104818	-0.003209"
"14.104695	-0.003110"
"14.104573	-0.003010"
"14.104451	-0.002911"
"14.104329	-0.002809"
"14.104206	-0.002400"
"14.104084	-0.001987"
"14.103962	-0.001578"
"14.103839	-0.001166"
"14.103717	-0.001154"
"14.103595	-0.001140"
"14.103472	-0.001753"
"14.103350	-0.001455"
"14.103228	-0.000685"
"14.103105	-0.001732"
"14.102983	-0.002212"
"14.102861	-0.001781"
"14.102739	-0.001523"
"14.102616	-0.001263"
"14.102494	-0.000948"
"14.102372	-0.000631"
"14.102249	-0.000912"
"14.102127	-0.001194"
"14.102005	-0.001476"
"14.101882	-0.001755"
"14.101760	-0.001848"
"14.101638	-0.001940"
"14.101515	-0.002032"
"14.101393	-0.002122"
"14.101271	-0.004535"
"14.101149	-0.006948"
"14.101026	-0.007353"
"14.100904	-0.005937"
"14.100782	-0.004865"
"14.100659	-0.003792"
"14.100537	-0.002606"
"14.100415	-0.001417"
"14.100292	-0.000822"
"14.100170	-0.000228"
"14.100048	-0.002040"
"14.099926	-0.004758"
"14.099803	-0.006437"
"14.099681	-0.006297"
"14.099559	-0.004206"
"14.099436	-0.002113"
"14.099314	-0.001140"
"14.099192	-0.000166"
"14.099069	-0.001012"
"14.098947	-0.001855"
"14.098825	-0.002359"
"14.098702	-0.002864"
"14.098580	-0.003368"
"14.098458	-0.003870"
"14.098336	-0.002068"
"14.098213	-0.000266"
"14.098091	-0.000282"
"14.097969	-0.000299"
"14.097846	-0.000960"
"14.097724	-0.001620"
"14.097602	-0.002224"
"14.097479	-0.002828"
"14.097357	-0.003044"
"14.097235	-0.002350"
"14.097112	-0.001031"
"14.096990	-0.001530"
"14.096868	-0.002087"
"14.096746	-0.000825"
"14.096623	0.000324"
"14.096501	-0.000346"
"14.096379	-0.001050"
"14.096256	-0.001753"
"14.096134	-0.002570"
"14.096012	-0.003387"
"14.095889	-0.003977"
"14.095767	-0.004566"
"14.095645	-0.003337"
"14.095523	-0.002108"
"14.095400	-0.003692"
"14.095278	-0.005277"
"14.095156	-0.003830"
"14.095033	-0.002383"
"14.094911	-0.002073"
"14.094789	-0.001763"
"14.094666	-0.001452"
"14.094544	-0.001142"
"14.094422	-0.001173"
"14.094299	-0.001201"
"14.094177	-0.001230"
"14.094055	-0.001258"
"14.093933	-0.001933"
"14.093810	-0.002606"
"14.093688	-0.003278"
"14.093566	-0.003951"
"14.093443	-0.005459"
"14.093321	-0.006965"
"14.093199	-0.006652"
"14.093076	-0.006340"
"14.092954	-0.005386"
"14.092832	-0.004429"
"14.092709	-0.003472"
"14.092587	-0.002516"
"14.092465	-0.001879"
"14.092343	-0.001239"
"14.092220	-0.000600"
"14.092098	0.000040"
"14.091976	-0.000195"
"14.091853	-0.000427"
"14.091731	-0.000659"
"14.091609	-0.000891"
"14.091486	-0.002357"
"14.091364	-0.003820"
"14.091242	-0.003389"
"14.091119	-0.001140"
"14.090997	-0.000275"
"14.090875	-0.001227"
"14.090753	-0.003373"
"14.090630	-0.004609"
"14.090508	-0.004301"
"14.090386	-0.003993"
"14.090263	-0.003629"
"14.090141	-0.003264"
"14.090019	-0.003467"
"14.089896	-0.003671"
"14.089774	-0.003875"
"14.089652	-0.004078"
"14.089530	-0.003335"
"14.089407	-0.002591"
"14.089285	-0.001961"
"14.089163	-0.001332"
"14.089040	-0.001535"
"14.088918	-0.003557"
"14.088796	-0.005580"
"14.088673	-0.005783"
"14.088551	-0.005442"
"14.088429	-0.005101"
"14.088306	-0.004647"
"14.088184	-0.004192"
"14.088062	-0.003283"
"14.087940	-0.002373"
"14.087817	-0.001578"
"14.087695	-0.000782"
"14.087573	-0.000346"
"14.087450	-0.001729"
"14.087328	-0.002089"
"14.087206	-0.002449"
"14.087083	-0.002468"
"14.086961	-0.002487"
"14.086839	-0.002506"
"14.086716	-0.002525"
"14.086594	-0.003718"
"14.086472	-0.004912"
"14.086350	-0.005992"
"14.086227	-0.007069"
"14.086105	-0.006293"
"14.085983	-0.003697"
"14.085860	-0.002238"
"14.085738	-0.000777"
